Circuit,Constructor,Grid,Position
Albert Park Grand Prix Circuit,sauber,13,6
Albert Park Grand Prix Circuit,lotus_f1,17,7
Albert Park Grand Prix Circuit,sauber,22,8
Albert Park Grand Prix Circuit,toro_rosso,10,9
Albert Park Grand Prix Circuit,force_india,15,10
Albert Park Grand Prix Circuit,toro_rosso,11,11
Albert Park Grand Prix Circuit,mercedes,7,12
Albert Park Grand Prix Circuit,williams,8,13
Albert Park Grand Prix Circuit,marussia,20,14
Albert Park Grand Prix Circuit,marussia,21,15
Albert Park Grand Prix Circuit,williams,14,16
Albert Park Grand Prix Circuit,ferrari,16,17
Albert Park Grand Prix Circuit,caterham,18,18
Albert Park Grand Prix Circuit,caterham,19,19
Albert Park Grand Prix Circuit,mercedes,4,20
Albert Park Grand Prix Circuit,lotus_f1,3,21
Albert Park Grand Prix Circuit,force_india,9,22
Albert Park Grand Prix Circuit,hrt,0,23
Albert Park Grand Prix Circuit,hrt,0,24
Sepang International Circuit,ferrari,8,1
Sepang International Circuit,sauber,9,2
Sepang International Circuit,mclaren,1,3
Sepang International Circuit,red_bull,4,4
Sepang International Circuit,lotus_f1,10,5
Sepang International Circuit,williams,13,6
Albert Park Grand Prix Circuit,lotus_f1,7,1
Albert Park Grand Prix Circuit,ferrari,5,2
Albert Park Grand Prix Circuit,red_bull,1,3
Albert Park Grand Prix Circuit,ferrari,4,4
Albert Park Grand Prix Circuit,mercedes,3,5
Albert Park Grand Prix Circuit,red_bull,2,6
Albert Park Grand Prix Circuit,force_india,12,7
Albert Park Grand Prix Circuit,force_india,9,8
Albert Park Grand Prix Circuit,mclaren,10,9
Albert Park Grand Prix Circuit,lotus_f1,8,10
Albert Park Grand Prix Circuit,mclaren,15,11
Albert Park Grand Prix Circuit,toro_rosso,13,12
Albert Park Grand Prix Circuit,sauber,18,13
Albert Park Grand Prix Circuit,williams,16,14
Albert Park Grand Prix Circuit,marussia,19,15
Albert Park Grand Prix Circuit,caterham,22,16
Albert Park Grand Prix Circuit,marussia,20,17
Albert Park Grand Prix Circuit,caterham,21,18
Albert Park Grand Prix Circuit,toro_rosso,14,19
Albert Park Grand Prix Circuit,mercedes,6,20
Albert Park Grand Prix Circuit,williams,17,21
Albert Park Grand Prix Circuit,sauber,11,22
Sepang International Circuit,red_bull,1,1
Sepang International Circuit,red_bull,5,2
Sepang International Circuit,mercedes,4,3
Sepang International Circuit,mercedes,6,4
Sepang International Circuit,ferrari,2,5
Sepang International Circuit,lotus_f1,11,6
Sepang International Circuit,lotus_f1,10,7
Sepang International Circuit,sauber,12,8
Albert Park Grand Prix Circuit,mercedes,3,1
Albert Park Grand Prix Circuit,mclaren,4,2
Albert Park Grand Prix Circuit,mclaren,10,3
Albert Park Grand Prix Circuit,ferrari,5,4
Albert Park Grand Prix Circuit,williams,15,5
Albert Park Grand Prix Circuit,force_india,7,6
Albert Park Grand Prix Circuit,ferrari,11,7
Albert Park Grand Prix Circuit,toro_rosso,6,8
Albert Park Grand Prix Circuit,toro_rosso,8,9
Albert Park Grand Prix Circuit,force_india,16,10
Albert Park Grand Prix Circuit,sauber,13,11
Albert Park Grand Prix Circuit,sauber,20,12
Albert Park Grand Prix Circuit,marussia,17,13
Albert Park Grand Prix Circuit,marussia,18,14
Albert Park Grand Prix Circuit,lotus_f1,22,15
Albert Park Grand Prix Circuit,lotus_f1,21,16
Albert Park Grand Prix Circuit,caterham,19,17
Albert Park Grand Prix Circuit,red_bull,12,18
Albert Park Grand Prix Circuit,mercedes,1,19
Albert Park Grand Prix Circuit,williams,9,20
Albert Park Grand Prix Circuit,caterham,14,21
Albert Park Grand Prix Circuit,red_bull,2,22
Sepang International Circuit,mercedes,1,1
Sepang International Circuit,mercedes,3,2
Sepang International Circuit,red_bull,2,3
Sepang International Circuit,ferrari,4,4
Sepang International Circuit,force_india,7,5
Sepang International Circuit,mclaren,10,6
Sepang International Circuit,williams,13,7
Sepang International Circuit,williams,18,8
Albert Park Grand Prix Circuit,mercedes,1,1
Albert Park Grand Prix Circuit,mercedes,2,2
Albert Park Grand Prix Circuit,ferrari,4,3
Albert Park Grand Prix Circuit,williams,3,4
Albert Park Grand Prix Circuit,sauber,10,5
Albert Park Grand Prix Circuit,red_bull,6,6
Albert Park Grand Prix Circuit,force_india,13,7
Albert Park Grand Prix Circuit,sauber,15,8
Albert Park Grand Prix Circuit,toro_rosso,7,9
Albert Park Grand Prix Circuit,force_india,14,10
